expanded_url,file_name,directory,file_downloaded
https://api.nga.gov/iiif/269b6ff9-92ad-45cc-8366-d9e63de5ba8a/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/2e84c8af-c22b-4cee-8c3c-c60cca641185/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/fd8cbc25-5b31-4853-8189-cfffc1c54106/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/eaf35df5-6949-469f-b77f-b87f09026852/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/cadb11f3-4436-423b-9dcd-892746e97f80/full/full/0/default.jpg,Balinese_Girl_with_Child.jpg,./All_Images,True
https://api.nga.gov/iiif/7b9f9883-36d4-4d8c-a7ae-434e0b90f367/full/full/0/default.jpg,Deux_Fils.jpg,./All_Images,True
https://api.nga.gov/iiif/62b79e75-71a3-4d5c-83c6-44ed3d64d72b/full/full/0/default.jpg,Man_with_Hat.jpg,./All_Images,True
https://api.nga.gov/iiif/f7622164-e661-4960-a323-2edc58ed29bd/full/full/0/default.jpg,Profile_of_a_Man.jpg,./All_Images,True
https://api.nga.gov/iiif/03a66817-93cc-40fd-9c3b-b8b27d812172/full/full/0/default.jpg,Head.jpg,./All_Images,True
https://api.nga.gov/iiif/4ad9dc5b-684e-4340-bd66-0ea6dded4ac2/full/full/0/default.jpg,Moon_Face.jpg,./All_Images,True
https://api.nga.gov/iiif/7ec39474-266c-49af-9f8b-de5757dfc616/full/full/0/default.jpg,Head_of_Colossus.jpg,./All_Images,True
https://api.nga.gov/iiif/01f29254-5101-4ee3-96f1-813a7a3d6d4e/full/full/0/default.jpg,Head.jpg,./All_Images,True
https://api.nga.gov/iiif/fa54a7e5-3735-4f57-a26a-e4fdb1117d32/full/full/0/default.jpg,Head.jpg,./All_Images,True
https://api.nga.gov/iiif/4b214d98-8d92-4a09-a7fd-7fda7f8ad534/full/full/0/default.jpg,Head.jpg,./All_Images,True
https://api.nga.gov/iiif/873d5439-4de3-43d9-a770-8237c3afc012/full/full/0/default.jpg,Half-Moon.jpg,./All_Images,True
https://api.nga.gov/iiif/db7f676a-8a27-4feb-8e74-7905b7096370/full/full/0/default.jpg,Viva_Zapata.jpg,./All_Images,True
https://api.nga.gov/iiif/e61e3c00-a5ac-48ee-9dc5-a536224747b4/full/full/0/default.jpg,Dog_or_Guardian_of_the_Peace_(Perro_o_Guardián_de_la_paz).jpg,./All_Images,True
https://api.nga.gov/iiif/9c5f5c00-4ea3-4d00-90d5-be843b7307bf/full/full/0/default.jpg,La_Línea_en_Función_del_Plano.jpg,./All_Images,True
https://api.nga.gov/iiif/71552c80-7f87-4c86-9fcb-9ebac28dde80/full/full/0/default.jpg,La_Línea_en_Función_del_Plano.jpg,./All_Images,True
https://api.nga.gov/iiif/de609e88-c366-492b-b853-c2a8291e2433/full/full/0/default.jpg,"Cemetery_Wall,_Texcoco,_Mexico.jpg",./All_Images,True
