objectid,constituentid,roletype,role,displaydate_artMade,beginyear_artMade,endyear_artMade,country_artMade,zipcode_artMade,ulanid,forwarddisplayname,artistofngaobject,birthyear,deathyear,nationality,constituenttype,demonym,pct_country_NGA,artists_countryCode,artists_continent,artists_country
33519,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
184006,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
33517,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
33518,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
33511,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
33514,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
33516,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
146252,3453,artist,artist,"Chilean, 1921 - 2000",1921,2000,NULL,NULL,500080572,"Enrique Antunez Zanartú",1,1921,2000,Chilean,individual,Chilean,0,CL,SA,Chile
48930,3453,artist,artist,"Chilean, 1921 - 2000",1921,2000,NULL,NULL,500080572,"Enrique Antunez Zanartú",1,1921,2000,Chilean,individual,Chilean,0,CL,SA,Chile
4551,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
4556,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
11853,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
4552,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
4558,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
4553,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
4557,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
11852,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
4554,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
4555,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
57797,3507,artist,artist,"Argentinean, 1905 - 1981",1905,1981,NULL,NULL,500015512,"Antonio Berni",1,1905,1981,Argentinean,individual,Argentinean,0,AR,SA,Argentina
57798,3507,artist,artist,"Argentinean, 1905 - 1981",1905,1981,NULL,NULL,500015512,"Antonio Berni",1,1905,1981,Argentinean,individual,Argentinean,0,AR,SA,Argentina
30247,3597,artist,artist,"Mexican, 1911 - 2005",1911,2005,NULL,NULL,NULL,"Ángel Bracho",1,1911,2005,Mexican,individual,Mexican,0,MX,NoAm,Mexico
41845,3679,artist,artist,"Mexican, 1908 - 1989",1908,1989,NULL,NULL,500118518,"Federico Cantú",1,1908,1989,Mexican,individual,Mexican,0,MX,NoAm,Mexico
57945,3682,artist,artist,"Argentinean, born 1928",1928,NULL,NULL,NULL,NULL,"Angelica Caporaso",1,1928,NULL,Argentinean,individual,Argentinean,0,AR,SA,Argentina
48893,3687,artist,artist,"Cuban, born 1927",1927,NULL,NULL,NULL,500035542,"Agustin Cardenas",1,1927,NULL,Cuban,individual,Cuban,0,CU,NoAm,Cuba
30249,3704,artist,artist,"Mexican, 1905 - 1947",1905,1947,NULL,NULL,500059286,"Julio Castellanos",1,1905,1947,Mexican,individual,Mexican,0,MX,NoAm,Mexico
9180,3740,artist,artist,"Mexican, born 1909",1909,2009,NULL,NULL,500078548,"José Chavez Morado",1,1909,2009,Mexican,individual,Mexican,0,MX,NoAm,Mexico
33363,3820,artist,artist,"Mexican, born 1913",1913,2013,NULL,NULL,500118509,"Olga Costa",1,1913,2013,Mexican,individual,Mexican,0,MX,NoAm,Mexico
61917,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
61919,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
61924,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
61930,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
61933,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
61934,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
61910,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
61911,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
