,Unnamed: 0,objectid,displayorder,roletype,role,constituentid,ulanid,preferreddisplayname,forwarddisplayname,lastname,displaydate,artistofngaobject,beginyear,endyear,visualbrowsertimespan,nationality,visualbrowsernationality,constituenttype,Demonym,Percent_in_NGA,Country,Continent,Country Name
88,88,48416,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
89,89,48418,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
90,90,48422,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
91,91,175610,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
92,92,196156,1,artist,artist,39181,500056681.0,"Álvarez Bravo, Lola",Lola Álvarez Bravo,Álvarez Bravo,"Mexican, 1903 - 1993",1,1903.0,1993.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
93,93,64162,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
94,94,64167,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
95,95,64168,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
96,96,64169,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
97,97,64173,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
98,98,64175,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
99,99,64179,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
100,100,64181,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
101,101,30693,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
102,102,30696,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
103,103,30697,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
104,104,30704,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
105,105,219357,1,artist,artist,50386,,"Carneiro, Dulce",Dulce Carneiro,Carneiro,"Brazilian, 1929 - 2018",1,1929.0,2018.0,1926 to 1950,Brazilian,Other,individual,Brazilian,0.0009799438165545,BR,South America,Brazil
106,106,220350,1,artist,artist,39181,500056681.0,"Álvarez Bravo, Lola",Lola Álvarez Bravo,Álvarez Bravo,"Mexican, 1903 - 1993",1,1903.0,1993.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
107,107,223741,1,artist,artist,41056,500023797.0,"Yampolsky, Mariana",Mariana Yampolsky,Yampolsky,"Mexican, born United States, 1925 - 2002",1,1925.0,2002.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
108,108,30714,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
109,109,30715,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
110,110,211388,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
