uuid,iiifurl,iiifthumburl,viewtype,sequence,width,height,maxpixels,assistivetext,depictstmsobjectid,objectid,constituentid,roletype,role,displaydate_artMade,beginyear_artMade,endyear_artMade,country_artMade,zipcode_artMade,ulanid,forwarddisplayname,artistofngaobject,beginyear,endyear,nationality,constituenttype,demonym,pct_country_NGA,artists_countryCode,artists_continent,artists_country
de609e88-c366-492b-b853-c2a8291e2433,https://api.nga.gov/iiif/de609e88-c366-492b-b853-c2a8291e2433,"https://api.nga.gov/iiif/de609e88-c366-492b-b853-c2a8291e2433/full/!200,200/0/default.jpg",primary,0,2952,3942,640,NULL,92294,92294,16466,artist,artist,"Mexican, 1902 - 2002",1902,2002,NULL,NULL,500028115,"Manuel Álvarez Bravo",1,1902,2002,Mexican,individual,Mexican,0,MX,NoAm,Mexico
de711854-181d-4749-ae22-30bfa44b95cc,https://api.nga.gov/iiif/de711854-181d-4749-ae22-30bfa44b95cc,"https://api.nga.gov/iiif/de711854-181d-4749-ae22-30bfa44b95cc/full/!200,200/0/default.jpg",primary,0,2213,3000,640,NULL,52380,52380,1876,artist,artist,"Mexican, 1896 - 1974",1896,1974,NULL,NULL,500008908,"David Alfaro Siqueiros",1,1896,1974,Mexican,individual,Mexican,0,MX,NoAm,Mexico
e092563d-a826-42d3-ac0b-217e507e38ed,https://api.nga.gov/iiif/e092563d-a826-42d3-ac0b-217e507e38ed,"https://api.nga.gov/iiif/e092563d-a826-42d3-ac0b-217e507e38ed/full/!200,200/0/default.jpg",primary,0,2969,4000,640,NULL,183747,183747,3951,artist,artist,"Mexican, 1911 - 1986",1911,1986,NULL,NULL,500071567,"Francisco Dosamantes",1,1911,1986,Mexican,individual,Mexican,0,MX,NoAm,Mexico
e1096521-ea9c-4010-9519-34493b19a8e2,https://api.nga.gov/iiif/e1096521-ea9c-4010-9519-34493b19a8e2,"https://api.nga.gov/iiif/e1096521-ea9c-4010-9519-34493b19a8e2/full/!200,200/0/default.jpg",primary,0,3547,3699,640,NULL,61470,61470,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
e146e959-b80b-43f3-bac0-6d877fee3fb3,https://api.nga.gov/iiif/e146e959-b80b-43f3-bac0-6d877fee3fb3,"https://api.nga.gov/iiif/e146e959-b80b-43f3-bac0-6d877fee3fb3/full/!200,200/0/default.jpg",primary,0,4000,3102,640,NULL,48417,48417,1707,artist,artist,"Chilean, 1911 - 2002",1911,2002,NULL,NULL,500057123,Matta,1,1911,2002,Chilean,individual,Chilean,0,CL,SA,Chile
e169febb-9246-4742-818a-6c1fb1c880b7,https://api.nga.gov/iiif/e169febb-9246-4742-818a-6c1fb1c880b7,"https://api.nga.gov/iiif/e169febb-9246-4742-818a-6c1fb1c880b7/full/!200,200/0/default.jpg",primary,0,4000,3946,NULL,NULL,143121,143121,34339,artist,author,Mexican,NULL,NULL,NULL,NULL,NULL,"Alejandro de Ávila",1,NULL,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
e169febb-9246-4742-818a-6c1fb1c880b7,https://api.nga.gov/iiif/e169febb-9246-4742-818a-6c1fb1c880b7,"https://api.nga.gov/iiif/e169febb-9246-4742-818a-6c1fb1c880b7/full/!200,200/0/default.jpg",primary,0,4000,3946,NULL,NULL,143121,143121,24999,artist,artist,"Mexican, born 1940",1940,NULL,NULL,NULL,500005528,"Francisco Toledo",1,1940,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
e169febb-9246-4742-818a-6c1fb1c880b7,https://api.nga.gov/iiif/e169febb-9246-4742-818a-6c1fb1c880b7,"https://api.nga.gov/iiif/e169febb-9246-4742-818a-6c1fb1c880b7/full/!200,200/0/default.jpg",primary,0,4000,3946,NULL,NULL,143121,143121,22253,artist,artist,"Mexican, born 1942",1942,NULL,NULL,NULL,500118440,"Graciela Iturbide",1,1942,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
e1cc4750-ae12-40bb-a647-5544d452bc14,https://api.nga.gov/iiif/e1cc4750-ae12-40bb-a647-5544d452bc14,"https://api.nga.gov/iiif/e1cc4750-ae12-40bb-a647-5544d452bc14/full/!200,200/0/default.jpg",primary,0,4000,3187,640,NULL,184671,184671,40239,artist,artist,"Mexican, 1915 - 2006",1915,2006,NULL,NULL,500061635,"Raúl Anguiano",1,1915,2006,Mexican,individual,Mexican,0,MX,NoAm,Mexico
e219709a-6fcc-4559-9459-2d6877681b79,https://api.nga.gov/iiif/e219709a-6fcc-4559-9459-2d6877681b79,"https://api.nga.gov/iiif/e219709a-6fcc-4559-9459-2d6877681b79/full/!200,200/0/default.jpg",primary,0,3553,3702,640,NULL,61460,61460,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
